from,to,time,count
7577,9765,1,2
9764,9763,2,2
10139,8215,3,1
9765,7577,3,2
11443,8274,3,1
7577,9766,4,2
10215,7918,4,1
10215,7863,4,1
8274,11394,4,1
7577,10215,4,1
7765,11394,5,1
10139,8215,5,1
2538,8274,5,1
7706,11443,6,1
2405,7607,6,1
10658,8117,7,1
7577,10658,7,1
10658,7706,7,1
10658,7863,7,1
11101,8235,7,1
8017,11443,7,1
8117,10658,7,1
8215,2405,8,1
8017,10215,8,1
8327,2060,8,7
8215,11394,8,1
2405,7607,8,1
8274,10215,8,1
8327,13934,8,1
8327,14085,8,3
7577,2405,8,1
8933,2595,9,8
8327,4670,9,41
7607,2405,9,1
8235,2538,9,1
8274,2538,9,1
8236,2538,10,1
7607,2405,10,1
8933,2595,10,3
8017,10215,10,1
7918,10215,10,1
9765,7607,11,1
8236,10215,11,1
7765,11443,11,1
9765,9766,11,2
7751,10215,11,1
8933,2595,12,1
8933,18170,12,33
9763,9764,12,1
7577,9765,12,1
8274,2538,13,1
7897,11443,13,2
8274,10215,13,2
8327,23862,14,7
8235,18535,14,1
8235,11443,14,1
8327,4670,14,28
8933,18170,14,13
8327,21136,15,28
8327,18535,15,1
8933,12080,15,28
8327,3403,16,11
8327,3396,16,4
8933,12080,16,17
11237,8235,16,1
8327,21136,16,10
9765,7607,17,1
2405,8017,17,1
2405,8235,17,1
8327,4670,17,28
7751,2538,17,1
8933,21582,17,1
2405,7765,17,1
8933,13934,17,1
2405,7751,17,1
2405,7607,17,1
2405,8117,17,1
2405,7918,17,1
2405,8215,17,1
2405,7706,17,1
2405,7863,17,1
8933,14085,17,3
2405,8274,17,1
8933,18142,17,21
8327,23862,17,7
8117,2405,17,1
2405,7897,17,1
2405,8236,17,1
8327,22601,17,1
8327,745,18,7
8933,21582,18,1
8327,21136,19,51
8327,20337,19,1
8327,745,19,1
8933,2061,20,14
8235,11237,20,1
7706,11443,20,1
7577,9766,20,1
7765,10215,20,1
7897,11101,20,1
8235,11101,20,1
7751,11101,20,1
7897,11237,21,1
8327,21136,21,10
7897,18321,21,3
8933,2061,21,4
7897,18526,21,1
8556,18142,21,21
7897,18313,21,48
9763,9764,22,1
7918,10215,22,1
7765,10215,22,1
2538,8017,22,1
8117,2538,22,1
2538,7765,22,1
8327,745,22,7
2538,8236,22,1
7897,18313,22,1
2538,7918,22,1
2538,8117,22,2
2538,8274,22,1
7897,18321,22,1
2538,8215,22,1
2538,7863,22,1
9765,7577,22,1
8933,2061,22,4
2538,7706,22,1
7577,2538,22,1
2538,8235,22,1
2538,7897,22,1
8933,12071,23,10
8933,18325,23,19
8327,745,23,1
8556,14500,23,1
8327,21136,23,19
8556,18145,23,7
8235,10215,23,1
8556,18147,23,3
8556,18142,23,1
8556,18313,23,19
8235,11237,23,1
2538,7607,24,1
8556,18313,24,13
8933,12071,24,14
2538,7607,25,1
8327,14734,25,1
7897,18321,25,1
8556,3403,25,11
8556,3396,25,4
9765,7607,25,2
8327,14740,25,14
7897,18313,25,75
9765,7607,26,1
8327,14740,26,7
8933,12071,26,11
7765,11101,26,1
8327,2595,26,12
8327,20228,26,1
8327,17948,26,13
8327,25290,26,1
7897,18313,27,26
9765,7607,27,2
8556,11559,27,2
8556,3405,27,1
8327,2595,27,1
8556,3403,27,21
8556,3396,27,3
8327,2595,28,11
7897,18313,28,29
10215,8274,28,1
7897,11770,28,26
7577,9765,28,1
7577,10215,28,1
10215,7897,28,1
10215,7751,28,1
10215,8235,28,1
10215,7765,28,1
8327,9482,28,16
8556,3396,28,1
8933,12071,28,28
10215,8215,28,1
